iter	Passed	Remaining
0	193	193719
1	364	181844
2	563	187342
3	840	209310
4	1112	221320
5	1280	212067
6	1488	211221
7	1649	204555
8	1807	199027
9	2014	199459
10	2182	196212
11	2347	193274
12	2534	192453
13	2691	189534
14	2824	185472
15	3019	185695
16	3178	183800
17	3349	182739
18	3512	181370
19	3650	178876
20	3803	177296
21	4001	177897
22	4162	176805
23	4345	176712
24	4526	176549
25	4670	174950
26	4842	174505
27	5028	174556
28	5187	173702
29	5339	172638
30	5541	173210
31	5690	172125
32	5848	171373
33	6028	171279
34	6183	170489
35	6330	169505
36	6517	169619
37	6659	168591
38	6802	167626
39	7005	168143
40	7167	167659
41	7326	167124
42	7493	166770
43	7644	166090
44	7798	165498
45	7977	165453
46	8153	165329
47	8321	165036
48	8493	164836
49	8637	164115
50	8805	163842
51	8998	164050
52	9155	163595
53	9303	162987
54	9490	163071
55	9664	162916
56	9815	162381
57	9985	162184
58	10189	162507
59	10341	162015
60	10489	161468
61	10673	161484
62	10833	161131
63	10985	160665
64	11168	160654
65	11333	160382
66	11479	159856
67	11660	159817
68	11822	159513
69	11995	159367
70	12350	161602
71	12522	161402
72	12675	160959
73	12847	160767
74	13042	160859
75	13188	160346
76	13358	160130
77	13515	159760
78	13678	159462
79	13849	159272
80	14029	159176
81	14166	158600
82	14502	160228
83	14742	160758
84	14923	160647
85	15088	160364
86	15285	160406
87	15419	159806
88	15569	159364
89	15758	159333
90	15906	158885
91	16101	158919
92	16272	158702
93	16429	158356
94	16600	158141
95	16772	157940
96	16923	157545
97	17097	157370
98	17267	157150
99	17421	156792
100	17575	156436
101	17763	156386
102	17906	155945
103	18105	155988
104	18285	155859
105	18441	155534
106	18586	155121
107	18810	155360
108	18972	155089
109	19155	154982
110	19321	154744
111	19470	154371
112	19636	154138
113	19823	154064
114	20010	153997
115	20196	153908
116	20365	153702
117	20507	153285
118	20712	153342
119	20897	153248
120	21093	153233
121	21284	153175
122	21455	152977
123	21616	152708
124	21833	152831
125	22031	152818
126	22159	152326
127	22328	152110
128	22510	151988
129	22660	151648
130	22859	151640
131	23050	151576
132	23204	151264
133	23379	151097
134	23543	150850
135	23699	150560
136	23869	150360
137	24106	150577
138	24248	150201
139	24414	149975
140	24576	149726
141	24726	149402
142	24914	149311
143	25115	149296
144	25259	148942
145	25422	148702
146	25606	148589
147	25756	148273
148	25939	148150
149	26280	148921
150	26416	148526
151	26590	148346
152	26748	148079
153	26923	147906
154	27117	147835
